Work Item Type,Title 1,Title 2,Title 3,Title 4,Description,Acceptance Criteria,
Task,,,,3.FE-E3-F1-US1-T4,"3.FE-E3-F1-US2-T4

Password Visibility Toggle for LMS Login

As an LMS user, when entering my password, I want to have a visibility toggle option so I can choose to either hide or display the characters of my password for better accuracy.","Acceptance Criteria for Password Visibility Toggle  E1-F1-US2-T4:

1. Default State:
   - Initially, the password input field should mask/hide the characters entered by the user for security.

2. Toggle Presence:
   - A visibility toggle icon (commonly represented as an eye icon) should be present adjacent to the password input field.

3. Toggle Functionality:
   - When the user clicks on the visibility toggle icon, the characters in the password field should be revealed as plain text.
   - Clicking the toggle icon again should revert the characters back to their masked/hidden state.

4. Intuitive Design:
   - The visibility toggle icon should be easily recognizable and intuitive, indicating its function to the user.
   - The icon's design should change to reflect the current state (e.g., an ""open eye"" when characters are visible and a ""closed eye"" when they are hidden).

5. No Data Alteration:
   - Toggling the visibility should only change the display of the password characters and should not alter the actual data entered by the user.

6. Consistent Behavior:
   - The visibility toggle functionality should work consistently across different browsers and devices.",
Task,,,,3.FE-E3-F1-US1-T5,"3.FE-E3-F1-US2-T5

Login Credential Submission via 'Continue' Button

As an LMS user, after entering my email and password, I want to see a ""Continue"" button that I can click to submit my login credentials and access the LMS.","Acceptance Criteria for ""Continue"" Button on Login Form E1-F1-US2-T5:

1. Button Visibility:
   - The ""Continue"" button should be clearly visible and positioned appropriately on the login form, preferably below the email and password fields.

2. Button Label:
   - The button should be labeled ""Continue"" to ensure users understand its purpose.

3. Active State:
   - The ""Continue"" button should only be active (clickable) when both the email and password fields have been filled out.

4. Functionality:
   - On clicking the ""Continue"" button, the system should validate the entered email and password against the registered user database.

5. Error Handling:
   - If the entered email or password is incorrect, the user should be presented with an appropriate error message.
   - Multiple consecutive failed login attempts should trigger additional security measures, such as CAPTCHA or account lockout, to prevent brute force attacks.

6. Successful Login:
   - Upon successful validation of the email and password, the user should be redirected to the main dashboard or homepage of the LMS.",
Product Backlog Item,,,3.FE-E3-F1-US3,,"3.FE-E3-F1-US3

Implementation of 'Forgot Password' Option for Password Recovery

As an LMS user, if I forget my password, I want to see a """"Forgot Password"""" option on the login form that I can click to initiate the password recovery process.""","Acceptance Criteria for User Story FE-E3-F1-US3:

1. **Option Visibility**: The ""Forgot Password"" option must be clearly visible and easily identifiable on the login form.

2. **Click Functionality**: When the ""Forgot Password"" option is clicked, it should prompt the user to enter their registered email address for password recovery.

3. **Input Field**: There must be an input field for the user to type in their email address, with placeholder text indicating the expected format (e.g., ""example@email.com"").

4. **Validation**: The system should validate the format of the entered email and confirm whether it is associated with an existing user account.

5. **Error Messaging**: If the user enters an email not found in the system, display an appropriate error message (e.g., ""No account found with that email address."").

6. **Recovery Email**: Upon entering a valid email and submitting the request, the system should automatically send a password recovery link or code to the user's registered email address.

7. **Confirmation Message**: After the user submits their email for password recovery, a confirmation message should appear indicating that an email has been sent with further instructions.

8. **Security Measures**: Implement security checks to prevent abuse of the password recovery option, such as limiting the number of requests that can be made within a certain time frame.

9. **Accessibility**: Ensure the ""Forgot Password"" option and the subsequent recovery process are accessible to users with disabilities, complying with WCAG guidelines.",
Task,,,,3.FE-E3-F1-US3-T1,"3.FE-E3-F1-US3-T1

Display ""Forgot Password"" Option

As an LMS user, when I access the login form, I want to see a clearly labeled ""Forgot Password"" option, so I know there's a way to recover my password if I forget it.","Acceptance Criteria for ""Forgot Password"" Option E1-F1-US3-T1:

1. Visibility on Login Form:
   - The ""Forgot Password"" option should be prominently displayed on the login form, ensuring it's easily noticeable to users.

2. Clear Labeling:
   - The option should be clearly labeled as ""Forgot Password"" or a similar phrase that unambiguously conveys its purpose.

3. Positioning:
   - The option should be positioned near the password input field, ensuring logical flow and ease of use.

5. Clickable Link or Button:
   - The ""Forgot Password"" option should be clickable, either as a link or a button, to initiate the password recovery process.

6. Error Handling:
   - If there's any issue or error with the ""Forgot Password"" option (e.g., link not working), an appropriate error message should be displayed to inform the user.",
Task,,,,3.FE-E3-F1-US3-T2,"3.FE-E3-F1-US3-T2

Click to Navigate to Recovery Page

As an LMS user, when I click on the """"Forgot Password"""" option, I want to be directed to a dedicated password recovery page, so I can initiate the process without confusion.""","Acceptance Criteria for ""Click to Navigate to Recovery Page""  E1-F1-US3-T2:

1. Visibility of Option:
   - The ""Forgot Password"" option should be clearly visible and accessible on the login form.

2. Immediate Redirection:
   - Upon clicking the ""Forgot Password"" option, the user should be immediately redirected to the password recovery page without any significant delay.

3. Distinct Recovery Page:
   - The password recovery page should be distinctly different from other pages, ensuring users understand they are on the right page to initiate the password recovery process.

4. Clear Instructions:
   - The password recovery page should provide clear instructions on how to proceed with the recovery process, ensuring users know the next steps.

5. Email Input Field:
   - The recovery page should have an input field where users can enter their registered email address to receive recovery instructions.

6. Error Handling:
   - If there's an issue redirecting to the recovery page or if the page fails to load, an appropriate error message should be displayed to inform the user of the problem.",
Task,,,,3.FE-E3-F1-US3-T3,"3.FE-E3-F1-US3-T3

Enter Registered Email for Recovery

As an LMS user, on the password recovery page, I want to be prompted to enter my registered email address, so the system can verify my identity and send me recovery instructions.""","Acceptance Criteria for ""Enter Registered Email for Recovery""  E1-F1-US3-T3:

1. Presence of Email Input Field:
   - The password recovery page should have a clearly labeled input field for users to enter their email address.

2. Placeholder Text:
   - The email input field should have placeholder text (e.g., ""Enter your registered email"") to guide users.

3. Validation of Email Format:
   - The system should validate that the entered text is in a valid email format (e.g., ""user@example.com"").

4. Error Message for Invalid Email Format:
   - If the user enters an email in an incorrect format, an appropriate error message should be displayed (e.g., ""Please enter a valid email address"").

5. Submit Option:
   - There should be a Continue Button or option to submit the entered email for the recovery process.

6. Feedback on Submission:
   - After submitting the email, the user should receive feedback, such as a message stating that if the email is registered, they will receive recovery instructions.

7. Link to Return to Login:
   - There should be a clear option for users to return to the login page if they remember their password or decide not to proceed with the recovery.",
Task,,,,3.FE-E3-F1-US3-T4,"3.FE-E3-F1-US3-T4

Receive Password Recovery Email

As an LMS user, after entering my registered email, I want to receive a password recovery email with instructions and/or a reset link, so I can follow the steps to set a new password.""","Acceptance Criteria for ""Receive Password Recovery Email"" E1-F1-US3-T4:

1. Email Trigger:
   - Upon entering a registered email address and requesting a password reset, the system should automatically trigger a password recovery email.

2. Valid Email Check:
   - The system should verify that the entered email address is associated with an active LMS user account before sending the recovery email.

3. Email Content:
   - The password recovery email should clearly state its purpose to avoid confusion.
   - The email should contain either:
     a. Clear step-by-step instructions on how to reset the password.
     b. A unique, time-sensitive reset link that the user can click to be directed to the password reset page.

4. Security Measures:
   - The reset link provided in the email should be time-bound, expiring after a certain duration (e.g., 24 hours) to enhance security.
   - The link should be unique to the user and the specific password reset request, preventing reuse.

5. Error Handling:
   - If the user enters an email not registered with the LMS, they should receive a notification or message indicating that the email is not recognized.

6. Confirmation:
   - After the password recovery email is sent, the user should see a confirmation message on the LMS platform, advising them to check their email.

7. Support Information:
   - The recovery email should include contact information or links for support in case the user encounters issues or has questions about the password reset process.",
Task,,,,3.FE-E3-F1-US3-T5,"3.FE-E3-F1-US3-T5

Confirmation of Successful Password Reset

As an LMS user, after resetting my password, I want to receive a confirmation message or email, so I'm assured that the process was successful and my account is secure.""","Acceptance Criteria for Confirmation of Successful Password Reset  E1-F1-US3-T5:

1. Immediate On-Screen Confirmation:
   - After successfully resetting the password, the user should immediately see an on-screen confirmation message stating that the password has been reset successfully.

2. Clear and Concise Message:
   - The on-screen confirmation message should be clear and concise, such as ""Your password has been successfully reset.""

3. Confirmation Email:
   - In addition to the on-screen message, the user should receive a confirmation email to their registered email address.

4. Email Content:
   - The confirmation email should contain:
     - A subject line indicating successful password reset, e.g., ""Password Reset Successful"".
     - A message body reassuring the user that their password has been changed and providing any additional steps or recommendations, if necessary.
     - Information on how to contact support in case of any issues.

5. Security Reminder:
   - The confirmation email should also include a reminder for the user to ensure the security of their account, such as not sharing passwords and ensuring the use of strong, unique passwords.

6. No Password Display:
   - At no point should the actual password (old or new) be displayed or sent in the confirmation email for security reasons.

7. Prompt Notification:
   - The confirmation email should be sent promptly, ideally within a few minutes of the password reset.

8. Access to Account:
   - After the password reset and receiving confirmation, the user should be able to log into the LMS using their new password without any issues.",
Product Backlog Item,,,3.FE-E3-F1-US4,,"3.FE-E3-F1-US4

Role-Specific Welcome Page Navigation on Successful Login

As a user of Kona LMS, after I log in successfully, I want to be directed to a welcome page tailored to my user role, so that I can access the relevant Fs and information specific to my role.""","Acceptance Criteria for User Story 3.FE-E3-F1-US4:

1. **Role Recognition**: Upon successful login, the system must immediately recognize the user's role within Kona LMS (e.g., Student, Instructor, Administrator).

2. **Dynamic Redirection**: The user should be automatically and dynamically redirected to a role-specific welcome page that corresponds to their recognized role.

3. **Relevant Content**: The role-specific welcome page must display features and information pertinent to the user’s role, such as relevant tools, dashboards, announcements, or resources.

4. **Navigation Efficiency**: The redirection process should be smooth and efficient, minimizing load times to ensure a seamless user experience.

5. **Access Verification**: Users should only be able to access the welcome page and subsequent features that are appropriate for their role, adhering to the permissions and security protocols of Kona LMS.

6. **Fallback Mechanism**: In the event of a role recognition failure, the system should provide a default welcome page with an option for the user to navigate to their specific role's page or contact support for assistance.

7. **User Feedback**: After redirection, users should have an option to confirm if the welcome page meets their needs or provide feedback for further personalization or improvement.

8. **Consistency Across Sessions**: The system should consistently direct the user to the appropriate role-specific welcome page on each successful login, remembering the user’s role across different sessions and devices.

9. **Error Handling**: Any errors during redirection should trigger a user-friendly message with the option to retry or seek help, ensuring the user is not left without direction.",
Task,,,,3.FE-E3-F1-US4-T1,"Learner-Specific Welcome Page Post-Login on Kona LMS

As a learner on Kona LMS, after I log in successfully, I want to be directed to a learner-specific welcome page, so that I can access courses, view my progress, and utilize tools and resources tailored for my learning experience""","Acceptance Criteria for Learner-Specific Welcome Page on Kona LMS  E1-F1-US4-T1:

1. Successful Login Redirection:
   - After a learner logs in successfully, they should be automatically redirected to the learner-specific welcome page without any additional steps or actions required.

2. Page Identification:
   - The welcome page should clearly identify itself as being tailored for learners, possibly with a header or title like ""Learner Dashboard"" or ""Welcome"".

3. Access to Courses:
   - The welcome page should display a list of courses that the learner is enrolled in.

4. Error Handling:
   - If there's an issue loading the welcome page or any of its components, an appropriate error message should be displayed to inform the learner of the problem.",
Task,,,,3.FE-E3-F1-US4-T2,"3.FE-E3-F1-US4-T2

Admin-Specific Welcome Page Post-Login on Kona LMS

As an admin on Kona LMS, after I log in successfully, I want to be directed to an admin-specific welcome page, so that I can manage courses, view user analytics, and access administrative tools and settings to oversee the platform.""","Acceptance Criteria for Admin-Specific Welcome Page on Kona LMS E1-F1-US4-T2:

1. Successful Login Redirection:
   - After a successful login as an admin, the system should automatically redirect the user to the admin-specific welcome page.

2. Distinct Admin Page:
   - The admin welcome page should be distinctly different from the regular user or instructor welcome pages, clearly indicating its administrative nature.

3. Course Management Access:
   - The admin welcome page should provide tools or links that allow the admin to create, edit, delete, or view courses.

4. Clear Navigation:
   - The admin welcome page should have a clear and intuitive navigation menu or dashboard, allowing the admin to easily access different sections of the LMS.

5. Error Handling:
   - If there's an issue loading the admin-specific welcome page, an appropriate error message should be displayed to inform the admin of the problem.",
Epic,3.FE-E4,,,,"3.FE-E4

Common Header for All LMS Pages",,
Feature,,3.FE-E4-F1,,,"3.FE-E4-F1

Enhanced User Navigation with a Common Header

Integrating seamless navigation into the LMS platform, this F unifies all pages under a consistent header, linking to the home page via the Digital Lync logo and offering a personalized menu. Users can effortlessly hover to reveal options for profile management and secure sign-out, centralizing essential functions in a single, intuitive interface, thereby enhancing user experience and platform efficiency.",,
Product Backlog Item,,,3.FE-E4-F1-US1,,"3.FE-E4-F1-US1

Common Header with Logo and User Menu

As an LMS user, I want a consistent header on every page with the Digital Lync logo (linking to the Home Page) on the left and a circle with my initials on the right. Hovering over the circle should reveal options for ""My Profile"" and ""Sign Out"" for easy navigation.","Acceptance Criteria for Common Header User Story FE-E4-F1-US1:

1. **Header Consistency**: Every page within the LMS must feature a common header that remains consistent in appearance and functionality.

2. **Logo Placement and Function**: The Digital Lync logo should be prominently displayed on the top left corner of the header. Clicking on the logo should redirect users to the Home Page.

3. **User Menu Visibility**: A circle containing the user's initials should be visible on the top right corner of the header as a part of the user menu.

4. **User Menu Interactivity**: When the user hovers over the circle with their initials, a dropdown menu should appear with at least two options: ""My Profile"" and ""Sign Out"".

5. **Navigation Functionality**: Selecting ""My Profile"" should take the user to their profile page, and selecting ""Sign Out"" should log the user out of the LMS.

6. **Responsive Design**: The header, including the logo and user menu, must be responsive and function correctly across different devices and screen sizes.

7. **Accessibility**: The header should be accessible, with the ability to navigate to the logo and user menu using keyboard shortcuts for users who cannot use a mouse.",
Task,,,,3.FE-E4-F1-US1-T1,"3.FE-E4-F1-US1-T1

Display Digital Lync Logo on Header

As a user of the LMS, I want to see the Digital Lync logo consistently positioned on the top left corner of the header on every page, ensuring brand recognition.","Acceptance Criteria for Displaying Digital Lync Logo on Header E2-F1-US1-T1:

1. Presence of Logo:
   - The Digital Lync logo should be clearly visible on the top left corner of the header on every LMS page.

2. Consistent Positioning:
   - Regardless of the page or section of the LMS, the logo's position should remain consistent, always appearing on the top left corner of the header.

3. Branding Consistency:
   - The logo displayed should be consistent with the official Digital Lync branding in terms of color, design, and dimensions.

4. Error Handling:
   - If there's an issue displaying the logo (e.g., image not loading), an appropriate placeholder or error message should be displayed.

5. Quick Loading:
   - The logo should load quickly, ensuring users don't experience unnecessary delays when accessing LMS pages.",
Task,,,,3.FE-E4-F1-US1-T2,"3.FE-E4-F1-US1-T2

Logo as Home Page Link                

As a user of the LMS, when I click on the Digital Lync logo in the header, I want to be redirected to the Home Page, ensuring quick access to the main page","Acceptance Criteria for Logo as Home Page Link E2-F1-US1-T2:

1. Presence of Logo:
   - The Digital Lync logo should be prominently displayed in the header on every page of the LMS.

2. Clickable Logo:
   - The Digital Lync logo should be clickable, acting as a button or link.

3. Direct Navigation to Home Page:
   - Upon clicking the Digital Lync logo, the user should be immediately redirected to the Home Page of the LMS.

4. Consistent Behavior:
   - The behavior of the logo link should be consistent across all pages and sections of the LMS, always leading to the Home Page.

5. Clear Visual Feedback:
   - When hovering over the Digital Lync logo, there should be clear visual feedback (e.g., cursor change) indicating that it's clickable.",
Task,,,,3.FE-E4-F1-US1-T3,"3.FE-E4-F1-US1-T3

Display User Initials Circle on Header

As a user of the LMS, I want to see a circle on the top right corner of the header displaying my login name initials, providing a personalized touch","Acceptance Criteria for Logo as Home Page Link. E2-F1-US1-T3:

1. Presence of Logo:
   - The Digital Lync logo should be prominently displayed in the header on every page of the LMS.

2. Clickable Logo:
   - The Digital Lync logo should be clickable, acting as a button or link.

3. Direct Navigation to Home Page:
   - Upon clicking the Digital Lync logo, the user should be immediately redirected to the Home Page of the LMS.

4. Consistent Behavior:
   - The behavior of the logo link should be consistent across all pages and sections of the LMS, always leading to the Home Page.

5. Clear Visual Feedback:
   - When hovering over the Digital Lync logo, there should be clear visual feedback (e.g., cursor change) indicating that it's clickable.",
Task,,,,3.FE-E4-F1-US1-T4,"3.FE-E4-F1-US1-T4

Hover to Reveal User Options

As a user of the LMS, when I hover over the circle with my initials, I expect a dropdown menu to appear, allowing me to access the options, Profile and Sign out.","Acceptance Criteria for Hover to Reveal User Options E2-F1-US1-T4:

1. Presence of Initials Circle:
   - The LMS header should clearly display a circle containing the user's login name initials on the top right corner.

2. Hover Interaction:
   - When the user hovers their cursor over the initials circle, a dropdown menu of Profile and Sign Out should appear without any significant delay.

3. Consistent Behavior:
   - The hover interaction and dropdown appearance should function consistently across all pages of the LMS.

4. Interactive Options:
   - The user-specific options in the dropdown menu should be clickable, leading the user to the respective sections or functionalities.

5. Dropdown Disappearance:
   - Moving the cursor away from the initials circle or the dropdown menu should cause the dropdown to disappear.

6. Error Handling:
   - If there's an issue displaying the dropdown or any of its options, an appropriate error message or indication should be provided to the user.",
Product Backlog Item,,,3.FE-E4-F1-US2,,"3.FE-E4-F1-US2

My Profile and Sign Out menu on hover

As a user of the LMS, when I hover over the circle with my initials in the header, I want a dropdown menu to appear, displaying options for ""My Profile"" and ""Sign Out"", so I can easily navigate to my personal settings or securely log out of the platform.","Acceptance Criteria for User Story 3.FE-E4-F1-US2:

1. **Dropdown Trigger**: When the user hovers over the circular icon containing their initials in the platform's header, a dropdown menu must appear without any clicks required.

2. **Menu Options**: The dropdown menu must display two options: ""My Profile"" and ""Sign Out.""

3. **Visibility**: The dropdown menu should be clearly visible and overlay any other content on the page to ensure it is not obstructed.

4. **Navigation**: Selecting the ""My Profile"" option should direct the user to their personal settings page. Choosing ""Sign Out"" should securely log the user out of the LMS.

5. **Responsive Interaction**: The dropdown menu should appear promptly after the cursor hovers over the icon and should disappear when the cursor moves away from the menu.

6. **Accessibility**: The dropdown menu should be accessible via keyboard navigation for users who rely on keyboard controls.

7. **Consistency**: The appearance and behavior of the dropdown menu should be consistent across all pages of the LMS where the header is present.

8. **Security**: Ensure that the ""Sign Out"" process clears the user's session to prevent unauthorized access to their account after logging out.",
Task,,,,3.FE-E4-F1-US2-T1,"3.FE-E4-F1-US2-T1

Access ""My Profile"" from Dropdown

As a user of the LMS, from the dropdown menu, I want to see and be able to click on the ""My Profile"" option, ensuring easy access to my personal details and settings","Acceptance Criteria for Accessing ""My Profile"" from Dropdown E2-F1-US2-T1:

1. Visibility: When the user hovers over the dropdown menu, the ""My Profile"" option should be clearly visible among the list of available options.

2. Clickability: The ""My Profile"" option in the dropdown should be clickable.

3. Navigation: Upon clicking the ""My Profile"" option, the user should be navigated directly to their profile page.

4. No Errors: No errors should be displayed when the user clicks on the ""My Profile"" option from the dropdown.",
Task,,,,3.FE-E4-F1-US2-T2,"3.FE-E4-F1-US2-T2

Access ""Sign Out"" from Dropdown 

As a user of the LMS, from the dropdown menu, I want to see and be able to click on the ""Sign Out"" option, ensuring a straightforward way to securely log out of the platform.","Acceptance Criteria for ""Sign Out"" Option in Dropdown E2-F1-US2-T2:

1. Visibility: When a user clicks on the dropdown menu in the LMS, the ""Sign Out"" option should be clearly visible among the list of options.

2. Clickability: The ""Sign Out"" option should be clickable. Upon clicking, the user should be taken through the logout process.

3. Logout Action: Once the ""Sign Out"" option is clicked, the user should be successfully logged out of the LMS, ending their current session.

4. Confirmation: After selecting ""Sign Out"", the user should be redirected to a confirmation screen or receive a notification confirming they have been logged out.

5. Accessibility from Any Page: Regardless of where the user is within the LMS (e.g., dashboard, course page, profile), they should be able to access the dropdown and select the ""Sign Out"" option.

6. Security: The logout process should be secure, ensuring that once logged out, the user's session data is cleared and cannot be hijacked.

7. Re-login Requirement: After logging out, if the user wants to access the LMS again, they should be required to provide their login credentials.",
